所在地,営業時間,定休日,TEL,店舗名,郵便番号,緯度,経度,IDg,cont_no,URL
福井県大飯郡高浜町薗部41字中奥田15番地,AM9:00〜PM9:00,1月1日のみ,0770-72-3670,ゲンキー薗部店,919-2224,35.4854081,135.5619749,2,314,http://www.genky.co.jp/shop/cont.php?cont_no=314&g=2&ar=&page=1
福井県福井市木田3丁目923番地,AM9:00〜PM9:00,1月1日のみ,0776-89-1390,ゲンキー木田店,918-8105,36.0446977,136.2234196,2,325,http://www.genky.co.jp/shop/cont.php?cont_no=325&g=2&ar=&page=1
福井県福井市高木中央1丁目1304番地,AM9:00〜PM9:00,1月1日のみ,0776-43-1580,ゲンキー高木中央店,910-0804,36.0892595,136.2315311,2,328,http://www.genky.co.jp/shop/cont.php?cont_no=328&g=2&ar=&page=1
福井県福井市志比口1丁目127番地,AM9:00〜PM9:00,1月1日のみ,0776-97-9860,ゲンキー志比口店,910-0845,36.0695579,136.2329881,2,333,http://www.genky.co.jp/shop/cont.php?cont_no=333&g=2&ar=&page=1
福井県福井市西谷2丁目2016番地,AM9:00〜PM9:00,1月1日のみ,0776-50-2012,ゲンキー西谷店,918-8023,36.0389674,136.2022626,2,334,http://www.genky.co.jp/shop/cont.php?cont_no=334&g=2&ar=&page=1
福井県福井市御所垣内町15字4-1,AM9:00〜PM9:00,1月1日のみ,0776-63-6173,ゲンキー川西バイパス店,910-3112,36.127611,136.168205,2,336,http://www.genky.co.jp/shop/cont.php?cont_no=336&g=2&ar=&page=1
福井県吉田郡永平寺町東古市15-34-1,AM9:00〜PM9:00,1月1日のみ,0776-63-1280,ゲンキー東古市店,910-1212,36.0994464,136.3253579,2,343,http://www.genky.co.jp/shop/cont.php?cont_no=343&g=2&ar=&page=1
福井県大野市若杉町216番,AM9:00〜PM9:00,1月1日のみ,0779-64-5240,ゲンキーこぶし通り店,912-0045,35.9767025,136.4998873,2,347,http://www.genky.co.jp/shop/cont.php?cont_no=347&g=2&ar=&page=2
福井県敦賀市清水町2丁目17−5,AM9:00〜PM9:00,1月1日のみ,0770-47-6980,ゲンキー敦賀駅前店,914-0052,35.6493848,136.0746429,2,363,http://www.genky.co.jp/shop/cont.php?cont_no=363&g=2&ar=&page=2
福井県吉田郡永平寺町松岡室33字上坂竹1番1,AM9:00〜PM9:00,1月1日のみ,0776-61-1070,ゲンキー松岡店,910-1135,36.0891382,136.2882238,2,365,http://www.genky.co.jp/shop/cont.php?cont_no=365&g=2&ar=&page=2
福井県越前市国高1丁目1番2,AM9:00〜PM9:00,1月1日のみ,0778-42-6410,ゲンキー国高店,915-0082,35.9084882,136.1849208,2,372,http://www.genky.co.jp/shop/cont.php?cont_no=372&g=2&ar=&page=2
福井県丹生郡越前町中10−5−1,AM9:00〜PM9:00,1月1日のみ,0778-42-8120,ゲンキー織田店,916-0204,35.9614724,136.0520882,2,385,http://www.genky.co.jp/shop/cont.php?cont_no=385&g=2&ar=&page=2
福井県越前市上太田町24-6-6,AM9:00〜PM9:00,1月1日のみ,0778-42-7940,ゲンキー上太田店,915-0882,35.9070731,136.1464529,2,392,http://www.genky.co.jp/shop/cont.php?cont_no=392&g=2&ar=&page=2
福井県福井市種池1丁目2107,AM9:00〜PM9:00,1月1日のみ,0776-97-6550,ゲンキー種池店,918-8031,36.0368942,136.1875809,2,402,http://www.genky.co.jp/shop/cont.php?cont_no=402&g=2&ar=&page=2
福井県坂井市坂井町下新庄19-10-5,AM9:00〜PM9:00,1月1日のみ,0776-43-9490,ゲンキー坂井店,919-0521,36.1671256,136.2226732,2,404,http://www.genky.co.jp/shop/cont.php?cont_no=404&g=2&ar=&page=2
福井県坂井市三国町覚善10-83-13,AM9:00〜PM9:00,1月1日のみ,0776-89-1470,ゲンキー覚善店,913-0041,36.2225173,136.1609285,2,409,http://www.genky.co.jp/shop/cont.php?cont_no=409&g=2&ar=&page=2
福井県坂井市丸岡町猪爪5丁目110,AM9:00〜PM9:00,1月1日のみ,0776-88-0080,ゲンキー猪爪店,910-0303,36.1451795,136.2756708,2,410,http://www.genky.co.jp/shop/cont.php?cont_no=410&g=2&ar=&page=2
福井県三方上中郡若狭町鳥浜55-34-3,AM9:00〜PM9:00,1月1日のみ,0770-45-2160,ゲンキー梅街道店,919-1331,35.555878,135.9023407,2,411,http://www.genky.co.jp/shop/cont.php?cont_no=411&g=2&ar=&page=2
福井県福井市寺前町101,AM9:00〜PM9:00,1月1日のみ,0776-97-9490,ゲンキー中藤店,910-0801,36.0987575,136.2438842,2,415,http://www.genky.co.jp/shop/cont.php?cont_no=415&g=2&ar=&page=2
福井県大飯郡おおい町成海1-18-1,AM9:00〜PM9:00,1月1日のみ,0770-59-1251,ゲンキーうみんぴあ店,919-2107,35.4790005,135.6322434,2,418,http://www.genky.co.jp/shop/cont.php?cont_no=418&g=2&ar=&page=2
福井県福井市文京一丁目104,AM9:00〜PM9:00,1月1日のみ,0776-97-5960,ゲンキーまつもと町屋店,910-0017,36.0756804,136.224706,2,421,http://www.genky.co.jp/shop/cont.php?cont_no=421&g=2&ar=&page=2
福井県小浜市水取三丁目7-17,AM9:00〜PM9:00,1月1日のみ,0770-64-5770,ゲンキーこうのとり大橋北店,917-0093,35.5042143,135.7537516,2,429,http://www.genky.co.jp/shop/cont.php?cont_no=429&g=2&ar=&page=2
福井県今立郡池田町稲荷26-35,AM9:00〜PM9:00,1月1日のみ,0778-44-6710,ゲンキー池田稲荷店,910-2512,35.8907404,136.3433536,2,430,http://www.genky.co.jp/shop/cont.php?cont_no=430&g=2&ar=&page=2
福井県南条郡南越前町東大道60-1,AM9:00〜PM9:00,1月1日のみ,0778-47-3250,ゲンキー南条店,919-0223,35.8377444,136.1926813,2,434,http://www.genky.co.jp/shop/cont.php?cont_no=434&g=2&ar=&page=2
福井県坂井市丸岡町栄二丁目404番,AM9:00〜PM9:00,1月1日のみ,0776-63-6990,ゲンキー丸岡栄店,910-0262,36.159324,136.2696374,2,451,http://www.genky.co.jp/shop/cont.php?cont_no=451&g=2&ar=&page=2
福井県福井市今市町35番,AM9:00〜PM9:00,1月1日のみ,0776-97-5610,ゲンキー浅水店,918-8152,36.010266,136.2029292,2,452,http://www.genky.co.jp/shop/cont.php?cont_no=452&g=2&ar=&page=2
福井県大飯郡高浜町鐘寄第17号1番地1,AM9:00〜PM9:00,1月1日のみ,0770-72-5880,ゲンキー中寄店,919-2212,35.4885006,135.534236,2,454,http://www.genky.co.jp/shop/cont.php?cont_no=454&g=2&ar=&page=2
福井県大野市中野第3号33番地1,AM9:00〜PM9:00,1月1日のみ,0779-64-5230,ゲンキー大野中野店,912-0021,35.991276,136.4815834,2,459,http://www.genky.co.jp/shop/cont.php?cont_no=459&g=2&ar=&page=3
福井県小浜市口田縄第21号10番地,AM9:00〜PM9:00,1月1日のみ,0770-64-5970,ゲンキー口田縄店,917-0035,35.4559145,135.72039,2,467,http://www.genky.co.jp/shop/cont.php?cont_no=467&g=2&ar=&page=3
福井県坂井市春江町西長田40-46,AM9:00〜PM9:00,1月1日のみ,0776-97-6810,ゲンキー西長田店,919-0404,36.1568508,136.2013457,2,470,http://www.genky.co.jp/shop/cont.php?cont_no=470&g=2&ar=&page=3
福井県丹生郡越前町江波63号61番地,AM9:00〜PM9:00,1月1日のみ,0778-42-7140,ゲンキー宮崎江波店,916-0255,35.941944,136.072167,2,478,http://www.genky.co.jp/shop/cont.php?cont_no=478&g=2&ar=&page=3
岐阜県可児市坂戸字八幡806-1,AM9:00〜PM9:00,1月1日のみ,0574-60-5120,ゲンキー可児店,509-0241,35.4155173,137.0325355,3,107,http://www.genky.co.jp/shop/cont.php?cont_no=107&g=3&ar=&page=0
岐阜県美濃加茂市島町二丁目1378番地,AM9:00〜PM9:00,1月1日のみ,0574-24-7651,ゲンキー美濃太田店,505-0025,35.438957,137.028416,3,118,http://www.genky.co.jp/shop/cont.php?cont_no=118&g=3&ar=&page=0
岐阜県揖斐郡大野町大字黒野字小田町25-4,AM9:00〜PM9:00,1月1日のみ,0585-36-2501,ゲンキー岐阜大野店,501-0521,35.4672142,136.6231743,3,122,http://www.genky.co.jp/shop/cont.php?cont_no=122&g=3&ar=&page=0
岐阜県多治見市宝町九丁目70,AM9:00〜PM9:00,1月1日のみ,0572-21-3811,ゲンキー多治見西店,507-0054,35.3421594,137.106265,3,123,http://www.genky.co.jp/shop/cont.php?cont_no=123&g=3&ar=&page=0
岐阜県可児市柿田字細池809‐1,AM9:00〜PM9:00,1月1日のみ,0574-60-5860,ゲンキー可児御嵩店,509-0212,35.4295555,137.0903541,3,126,http://www.genky.co.jp/shop/cont.php?cont_no=126&g=3&ar=&page=0
岐阜県美濃加茂市山手町2丁目32番,AM9:00〜PM9:00,1月1日のみ,0574-24-7750,ゲンキー美濃加茂店,505-0036,35.4524191,137.0151753,3,127,http://www.genky.co.jp/shop/cont.php?cont_no=127&g=3&ar=&page=0
岐阜県関市稲口286番2,AM9:00〜PM9:00,1月1日のみ,0575-21-7010,ゲンキー関稲口店,501-3932,35.472046,136.915926,3,130,http://www.genky.co.jp/shop/cont.php?cont_no=130&g=3&ar=&page=0
岐阜県関市下有知1666番,AM9:00〜PM9:00,1月1日のみ,0575-21-1101,ゲンキー関下有知店,501-3217,35.5230639,136.9065319,3,134,http://www.genky.co.jp/shop/cont.php?cont_no=134&g=3&ar=&page=0
岐阜県瑞浪市北小田町3丁目53番,AM9:00〜PM9:00,1月1日のみ,0572-66-4380,ゲンキー瑞浪店,509-6115,35.36014,137.242452,3,136,http://www.genky.co.jp/shop/cont.php?cont_no=136&g=3&ar=&page=0
岐阜県土岐市肥田町肥田2702番,AM9:00〜PM9:00,1月1日のみ,0572-53-1720,ゲンキー土岐肥田店,509-5115,35.3608311,137.2090179,3,138,http://www.genky.co.jp/shop/cont.php?cont_no=138&g=3&ar=&page=0
岐阜県不破郡垂井町表佐字番切4919番1,AM9:00〜PM9:00,1月1日のみ,0584-24-1170,ゲンキー綾戸店,503-2122,35.3669368,136.5568313,3,140,http://www.genky.co.jp/shop/cont.php?cont_no=140&g=3&ar=&page=0
岐阜県養老郡養老町高田2197番,AM9:00〜PM9:00,1月1日のみ,0584-33-0390,ゲンキー養老店,503-1314,35.303978,136.567393,3,142,http://www.genky.co.jp/shop/cont.php?cont_no=142&g=3&ar=&page=0
岐阜県揖斐郡池田町本郷字出口581-1,AM9:00〜PM9:00,1月1日のみ,0585-44-1530,ゲンキー池田店,503-2417,35.4490695,136.5715487,3,144,http://www.genky.co.jp/shop/cont.php?cont_no=144&g=3&ar=&page=0
岐阜県加茂郡富加町羽生2106-1,AM9:00〜PM9:00,1月1日のみ,0574-55-1370,ゲンキー富加店,501-3303,35.4737675,136.9838614,3,145,http://www.genky.co.jp/shop/cont.php?cont_no=145&g=3&ar=&page=0
岐阜県安八郡神戸町下宮3番1,AM9:00〜PM9:00,1月1日のみ,0584-28-2550,ゲンキー神戸店,503-2312,35.412205,136.609128,3,149,http://www.genky.co.jp/shop/cont.php?cont_no=149&g=3&ar=&page=0
岐阜県海津市海津町鹿野1271-1,AM9:00〜PM9:00,1月1日のみ,0584-52-1510,ゲンキー海津店,503-0608,35.2225064,136.6493582,3,156,http://www.genky.co.jp/shop/cont.php?cont_no=156&g=3&ar=&page=0
岐阜県安八郡輪之内町四郷208,AM9:00〜PM9:00,1月1日のみ,0584-68-1280,ゲンキー輪之内店,503-0204,35.2913446,136.6482681,3,158,http://www.genky.co.jp/shop/cont.php?cont_no=158&g=3&ar=&page=0
岐阜県郡上市白鳥町向小駄良960-1,AM9:00〜PM9:00,1月1日のみ,0575-83-1730,ゲンキー郡上白鳥店,501-5126,35.8876259,136.8531141,3,161,http://www.genky.co.jp/shop/cont.php?cont_no=161&g=3&ar=&page=0
岐阜県可児市大森1352,AM9:00〜PM9:00,1月1日のみ,0574-56-0370,ゲンキー大森店,509-0238,35.393544,137.078869,3,162,http://www.genky.co.jp/shop/cont.php?cont_no=162&g=3&ar=&page=0
岐阜県美濃加茂市下米田町今174-1,AM9:00〜PM9:00,1月1日のみ,0574-24-7670,ゲンキー下米田店,505-0015,35.46104,137.061937,3,163,http://www.genky.co.jp/shop/cont.php?cont_no=163&g=3&ar=&page=0
岐阜県高山市国府町広瀬町1639-1,AM9:00〜PM9:00,1月1日のみ,0577-72-6410,ゲンキー高山国府店,509-4119,36.214972,137.208262,3,164,http://www.genky.co.jp/shop/cont.php?cont_no=164&g=3&ar=&page=1
岐阜県関市東新町6-314-1,AM9:00〜PM9:00,1月1日のみ,0575-21-5610,ゲンキー関 東新店,501-3824,35.48234,136.941954,3,165,http://www.genky.co.jp/shop/cont.php?cont_no=165&g=3&ar=&page=1
岐阜県不破郡関ケ原町関ケ原3691-1,AM9:00〜PM9:00,1月1日のみ,0584-41-1270,ゲンキー関ケ原店,503-1501,35.3641489,136.4822689,3,166,http://www.genky.co.jp/shop/cont.php?cont_no=166&g=3&ar=&page=1
岐阜県海津市南濃町吉田626-1,AM9:00〜PM9:00,1月1日のみ,0584-59-0730,ゲンキー南濃店,503-0536,35.1726904,136.6277096,3,167,http://www.genky.co.jp/shop/cont.php?cont_no=167&g=3&ar=&page=1
